FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,2011 Cost Per Meal,2011 Weighted Annual Food Budget Shortfall
27,Minnesota,MN,11.40%,607920,165.00%,SNAP,185.00%,Other Nutrition Program,56.60%,7.10%,36.30%,16.60%,209830,65%,35%,$2.56 ,"$253,715,600 "
28,Mississippi,MS,21.40%,638460,130.00%,SNAP,185.00%,Other Nutrition Program,57.40%,19.40%,23.20%,27.40%,202980,76%,24%,$2.65 ,"$275,829,270 "
29,Missouri,MO,17.10%,1029030,130.00%,SNAP,185.00%,Other Nutrition Program,49.40%,20.30%,30.30%,22.50%,312440,68%,32%,$2.45 ,"$411,012,370 "
30,Montana,MT,14.90%,149020,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",62.80%,0.00%,37.20%,21.80%,47720,64%,36%,$2.55 ,"$61,950,600 "
31,Nebraska,NE,13.70%,252060,130.00%,SNAP,185.00%,Other Nutrition Program,41.40%,17.80%,40.90%,21.00%,94940,62%,38%,$2.45 ,"$100,677,120 "
32,Nevada,NV,17.40%,472660,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",67.80%,0.00%,32.20%,28.00%,183360,66%,34%,$2.56 ,"$197,264,800 "
33,New Hampshire,NH,10.60%,139910,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",52.30%,0.00%,47.70%,14.70%,40490,55%,45%,$2.83 ,"$64,549,960 "
34,New Jersey,NJ,14.00%,1230690,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",60.90%,0.00%,39.10%,19.00%,383020,62%,38%,$2.82 ,"$565,794,290 "
35,New Mexico,NM,20.10%,417780,165.00%,SNAP,185.00%,Other Nutrition Program,68.40%,7.30%,24.30%,30.60%,156930,78%,22%,$2.48 ,"$168,911,840 "
36,New York,NY,14.70%,2853190,130.00%,SNAP,185.00%,Other Nutrition Program,53.20%,17.10%,29.70%,22.00%,924970,67%,33%,$2.68 ,"$1,246,597,540 "
37,North Carolina,NC,19.30%,1863330,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",66.90%,0.00%,33.10%,27.30%,618200,71%,29%,$2.59 ,"$786,774,580 "
38,North Dakota,ND,7.40%,50400,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",61.20%,0.00%,38.80%,10.20%,15250,61%,39%,$2.56 ,"$21,034,460 "
39,Ohio,OH,17.80%,2054290,130.00%,SNAP,185.00%,Other Nutrition Program,50.80%,15.70%,33.40%,25.70%,679900,68%,32%,$2.41 ,"$807,122,720 "
40,Oklahoma,OK,17.20%,653820,130.00%,SNAP,185.00%,Other Nutrition Program,50.70%,17.60%,31.60%,25.30%,233350,67%,33%,$2.58 ,"$275,003,790 "
41,Oregon,OR,17.90%,694050,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",71.50%,0.00%,28.50%,29.10%,245260,66%,34%,$2.59 ,"$293,056,460 "
42,Pennsylvania,PA,14.90%,1894550,160.00%,SNAP,185.00%,Other Nutrition Program,54.30%,9.00%,36.70%,20.50%,559120,65%,35%,$2.66 ,"$821,577,400 "
44,Rhode Island,RI,15.30%,161050,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",60.80%,0.00%,39.20%,22.20%,47780,69%,31%,$2.88 ,"$75,616,050 "
45,South Carolina,SC,18.60%,870210,130.00%,SNAP,185.00%,Other Nutrition Program,54.70%,19.60%,25.80%,27.40%,292800,70%,30%,$2.49 ,"$353,251,650 "
46,South Dakota,SD,12.50%,103180,130.00%,SNAP,185.00%,Other Nutrition Program,45.70%,16.80%,37.60%,18.30%,36110,60%,40%,$2.60 ,"$43,735,050 "
47,Tennessee,TN,17.60%,1127190,130.00%,SNAP,185.00%,Other Nutrition Program,53.20%,21.00%,25.80%,25.10%,369020,75%,25%,$2.66 ,"$488,809,390 "
48,Texas,TX,18.70%,4812760,165.00%,SNAP,185.00%,Other Nutrition Program,65.40%,8.20%,26.30%,27.60%,1894060,70%,30%,$2.28 ,"$1,788,915,510 "
49,Utah,UT,16.70%,471850,130.00%,SNAP,185.00%,Other Nutrition Program,43.20%,18.30%,38.50%,21.40%,186170,58%,42%,$2.37 ,"$182,311,090 "
50,Vermont,VT,13.10%,81750,185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",62.40%,0.00%,37.60%,19.30%,23670,59%,41%,$2.94 ,"$39,182,840 "
51,Virginia,VA,12.70%,1026730,130.00%,SNAP,185.00%,Other Nutrition Program,45.50%,18.00%,36.50%,16.50%,301980,61%,39%,$2.76 ,"$461,983,120 "
53,Washington,WA,16.10%,1101490,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",61.10%,0.00%,38.90%,24.30%,375880,65%,35%,$2.64 ,"$474,073,050 "
54,West Virginia,WV,15.30%,283300,130.00%,SNAP,185.00%,Other Nutrition Program,51.00%,17.70%,31.30%,21.80%,82220,66%,34%,$2.55 ,"$117,773,490 "
55,Wisconsin,WI,13.00%,744410,200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",65.50%,0.00%,34.50%,20.80%,270150,65%,35%,$2.39 ,"$290,048,670 "
56,Wyoming,WY,12.00%,68120,130.00%,SNAP,185.00%,Other Nutrition Program,38.50%,22.10%,39.40%,18.00%,23820,57%,43%,$2.67 ,"$29,651,500 "
