FIPS,State Name,State,2016 Food Insecurity Rate,# of Food Insecure Persons in 2016 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2016 Child Food Insecurity Rate,# of Food Insecure Children in 2016,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2016 Cost Per Meal,2016 Weighted Annual Food Budget Shortfall
13,Georgia,GA,15.10%,"1,561,360",130%,SNAP,185%,Other Nutrition Program,53.30%,15.20%,31.50%,20.90%,"523,470",69%,31%,$2.93 ,"$781,043,000 "
15,Hawaii,HI,11.80%,"168,030",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",55.50%,,44.50%,17.80%,"54,650",46%,54%,$3.27 ,"$93,916,000 "
16,Idaho,ID,13.20%,"221,800",130%,SNAP,185%,Other Nutrition Program,49.00%,17.10%,33.90%,16.70%,"72,840",68%,32%,$2.93 ,"$111,122,000 "
17,Illinois,IL,11.00%,"1,413,420",165%,SNAP,185%,Other Nutrition Program,64.50%,5.70%,29.80%,15.70%,"459,330",68%,32%,$2.77 ,"$669,207,000 "
18,Indiana,IN,13.70%,"910,870",130%,SNAP,185%,Other Nutrition Program,54.00%,14.80%,31.30%,17.70%,"279,840",71%,29%,$2.62 ,"$408,203,000 "
19,Iowa,IA,11.50%,"360,540",160%,SNAP,185%,Other Nutrition Program,52.70%,4.40%,42.90%,15.90%,"115,890",57%,43%,$2.72 ,"$167,753,000 "
20,Kansas,KS,12.90%,"375,360",130%,SNAP,185%,Other Nutrition Program,47.40%,15.90%,36.60%,18.30%,"131,130",66%,34%,$2.89 ,"$185,071,000 "
21,Kentucky,KY,15.50%,"685,830",130%,SNAP,185%,Other Nutrition Program,58.50%,11.20%,30.30%,19.20%,"194,440",74%,26%,$2.70 ,"$316,518,000 "
22,Louisiana,LA,16.70%,"783,400",130%,SNAP,185%,Other Nutrition Program,59.30%,10.60%,30.10%,23.10%,"258,630",69%,31%,$2.89 ,"$387,408,000 "
23,Maine,ME,13.80%,"183,310",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.00%,,40.00%,19.80%,"50,520",64%,36%,$3.45 ,"$108,086,000 "
24,Maryland,MD,11.10%,"665,420",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.40%,,38.60%,15.30%,"205,890",58%,42%,$3.10 ,"$352,619,000 "
25,Massachusetts,MA,9.60%,"652,760",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.30%,,34.70%,12.10%,"167,450",65%,35%,$3.38 ,"$376,759,000 "
26,Michigan,MI,14.20%,"1,414,700",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.00%,,27.00%,16.30%,"356,930",69%,31%,$2.81 ,"$678,813,000 "
27,Minnesota,MN,9.20%,"508,630",165%,SNAP,185%,Other Nutrition Program,60.90%,1.80%,37.30%,12.70%,"163,070",70%,30%,$2.97 ,"$258,531,000 "
28,Mississippi,MS,20.10%,"600,840",130%,SNAP,185%,Other Nutrition Program,56.40%,13.60%,30.00%,24.40%,"176,580",71%,29%,$2.97 ,"$304,654,000 "
29,Missouri,MO,14.70%,"896,570",130%,SNAP,185%,Other Nutrition Program,50.10%,16.00%,34.00%,17.40%,"241,830",66%,34%,$2.80 ,"$429,074,000 "
30,Montana,MT,12.30%,"128,740",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.30%,,31.70%,17.00%,"38,810",63%,37%,$2.91 ,"$64,053,000 "
31,Nebraska,NE,11.90%,"227,350",130%,SNAP,185%,Other Nutrition Program,43.60%,12.20%,44.20%,17.30%,"82,070",60%,40%,$2.83 ,"$109,894,000 "
32,Nevada,NV,12.70%,"372,820",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.00%,,24.00%,20.50%,"138,880",63%,37%,$3.01 ,"$191,725,000 "
33,New Hampshire,NH,9.00%,"119,770",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",49.20%,,50.80%,11.40%,"29,740",53%,47%,$3.25 ,"$66,449,000 "
34,New Jersey,NJ,10.30%,"919,030",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.40%,,32.60%,13.50%,"268,080",70%,30%,$3.16 ,"$495,839,000 "
35,New Mexico,NM,15.80%,"327,930",165%,SNAP,185%,Other Nutrition Program,72.80%,2.10%,25.10%,25.60%,"125,210",74%,26%,$2.86 ,"$160,282,000 "
36,New York,NY,11.90%,"2,352,940",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.10%,,25.90%,17.90%,"750,000",67%,33%,$3.09 ,"$1,242,696,000 "
37,North Carolina,NC,15.40%,"1,565,910",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.80%,,28.20%,20.90%,"479,220",71%,29%,$2.88 ,"$770,900,000 "
38,North Dakota,ND,7.40%,"55,710",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.40%,,36.60%,9.40%,"16,440",58%,42%,$3.06 ,"$29,141,000 "
39,Ohio,OH,15.10%,"1,758,310",130%,SNAP,185%,Other Nutrition Program,52.70%,11.80%,35.50%,20.30%,"528,960",66%,34%,$2.76 ,"$829,430,000 "
40,Oklahoma,OK,16.20%,"635,740",130%,SNAP,185%,Other Nutrition Program,51.70%,15.00%,33.30%,22.70%,"218,770",66%,34%,$2.88 ,"$313,377,000 "
41,Oregon,OR,12.90%,"527,370",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",70.40%,,29.60%,20.00%,"173,780",63%,37%,$2.93 ,"$264,279,000 "
42,Pennsylvania,PA,12.50%,"1,599,520",160%,SNAP,185%,Other Nutrition Program,58.50%,4.20%,37.30%,16.90%,"452,690",66%,34%,$3.01 ,"$821,658,000 "
44,Rhode Island,RI,12.10%,"128,330",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.50%,,34.50%,17.40%,"36,230",74%,26%,$3.12 ,"$68,489,000 "
45,South Carolina,SC,13.90%,"687,880",130%,SNAP,185%,Other Nutrition Program,54.50%,15.70%,29.80%,18.90%,"207,840",67%,33%,$2.86 ,"$335,759,000 "
46,South Dakota,SD,11.70%,"100,990",130%,SNAP,185%,Other Nutrition Program,47.30%,12.70%,40.00%,16.50%,"35,360",63%,37%,$3.01 ,"$51,929,000 "
47,Tennessee,TN,14.50%,"967,430",130%,SNAP,185%,Other Nutrition Program,55.40%,16.30%,28.30%,19.70%,"295,570",71%,29%,$3.00 ,"$496,487,000 "
48,Texas,TX,15.40%,"4,277,540",165%,SNAP,185%,Other Nutrition Program,63.80%,3.20%,33.00%,23.00%,"1,676,740",66%,34%,$2.67 ,"$1,953,920,000 "
49,Utah,UT,12.50%,"382,490",130%,SNAP,185%,Other Nutrition Program,44.20%,13.50%,42.30%,15.40%,"142,320",53%,47%,$2.82 ,"$184,235,000 "
50,Vermont,VT,12.10%,"75,360",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",58.60%,,41.40%,15.70%,"18,620",58%,42%,$3.39 ,"$43,688,000 "
51,Virginia,VA,10.60%,"893,720",130%,SNAP,185%,Other Nutrition Program,49.10%,13.70%,37.20%,13.30%,"249,170",64%,36%,$3.07 ,"$468,094,000 "
53,Washington,WA,12.00%,"872,720",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.00%,,33.00%,17.50%,"284,480",61%,39%,$3.01 ,"$448,899,000 "
54,West Virginia,WV,14.60%,"267,280",130%,SNAP,185%,Other Nutrition Program,54.30%,12.90%,32.70%,20.20%,"75,970",72%,28%,$2.77 ,"$126,636,000 "
55,Wisconsin,WI,10.50%,"609,360",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.30%,,30.70%,16.00%,"205,660",64%,36%,$2.79 ,"$290,129,000 "
56,Wyoming,WY,12.60%,"73,830",130%,SNAP,185%,Other Nutrition Program,41.50%,16.00%,42.50%,16.70%,"23,500",56%,44%,$3.06 ,"$38,653,000 "
