FIPS,State Name,State,2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child Food Insecurity Rate,# of Food Insecure Children in 2017,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
21,Kentucky,KY,14.90%,"662,360",130%,SNAP,185%,Other Nutrition Program,56.00%,10.80%,33.20%,18.40%,"186,660",70%,30%,$2.66 ,"$300,483,000 "
22,Louisiana,LA,16.50%,"773,850",130%,SNAP,185%,Other Nutrition Program,59.10%,11.60%,29.30%,23.00%,"255,640",71%,29%,$3.01 ,"$396,905,000 "
23,Maine,ME,12.90%,"172,650",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.80%,,43.20%,18.50%,"47,020",56%,44%,$3.50 ,"$103,223,000 "
24,Maryland,MD,10.70%,"650,200",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.80%,,37.20%,15.20%,"204,660",61%,39%,$3.14 ,"$347,927,000 "
25,Massachusetts,MA,9.00%,"616,090",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.80%,,33.20%,11.70%,"159,950",65%,35%,$3.55 ,"$373,245,000 "
26,Michigan,MI,13.70%,"1,369,250",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.60%,,28.40%,15.90%,"345,130",68%,32%,$2.79 ,"$652,838,000 "
27,Minnesota,MN,9.10%,"504,760",165%,SNAP,185%,Other Nutrition Program,57.30%,2.80%,39.90%,12.60%,"163,310",67%,33%,$3.00 ,"$258,233,000 "
28,Mississippi,MS,19.20%,"573,610",130%,SNAP,185%,Other Nutrition Program,54.40%,14.10%,31.50%,22.90%,"163,530",71%,29%,$2.93 ,"$286,997,000 "
29,Missouri,MO,14.20%,"865,400",130%,SNAP,185%,Other Nutrition Program,48.70%,14.80%,36.40%,17.50%,"243,110",65%,35%,$2.78 ,"$409,933,000 "
30,Montana,MT,11.10%,"116,120",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.30%,,33.70%,16.10%,"36,910",57%,43%,$2.96 ,"$58,669,000 "
31,Nebraska,NE,11.60%,"223,170",130%,SNAP,185%,Other Nutrition Program,42.30%,14.30%,43.40%,17.40%,"82,370",63%,37%,$2.83 ,"$107,760,000 "
32,Nevada,NV,12.20%,"365,160",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.20%,,27.80%,20.00%,"136,800",60%,40%,$3.05 ,"$190,010,000 "
33,New Hampshire,NH,9.10%,"122,860",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",48.00%,,52.00%,12.30%,"31,640",53%,47%,$3.31 ,"$69,502,000 "
34,New Jersey,NJ,9.60%,"865,900",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.40%,,34.60%,13.20%,"260,340",67%,33%,$3.24 ,"$478,385,000 "
35,New Mexico,NM,15.50%,"324,000",165%,SNAP,185%,Other Nutrition Program,69.50%,3.40%,27.00%,24.10%,"118,030",73%,27%,$2.87 ,"$158,536,000 "
36,New York,NY,11.40%,"2,261,250",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.70%,,25.30%,17.60%,"732,300",66%,34%,$3.14 ,"$1,210,704,000 "
37,North Carolina,NC,14.60%,"1,503,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.70%,,30.30%,20.10%,"461,630",67%,33%,$2.87 ,"$735,321,000 "
38,North Dakota,ND,7.30%,"54,930",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.80%,,38.20%,9.80%,"16,900",55%,45%,$3.07 ,"$28,813,000 "
39,Ohio,OH,14.50%,"1,691,910",130%,SNAP,185%,Other Nutrition Program,50.50%,12.70%,36.80%,19.60%,"510,030",66%,34%,$2.76 ,"$797,169,000 "
40,Oklahoma,OK,15.80%,"621,370",130%,SNAP,185%,Other Nutrition Program,49.00%,16.40%,34.60%,22.20%,"213,720",64%,36%,$2.87 ,"$304,698,000 "
41,Oregon,OR,12.30%,"510,080",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.00%,,32.00%,18.90%,"165,290",63%,37%,$2.97 ,"$258,439,000 "
42,Pennsylvania,PA,12.00%,"1,534,710",160%,SNAP,185%,Other Nutrition Program,56.90%,3.30%,39.80%,16.40%,"437,340",63%,37%,$3.04 ,"$797,438,000 "
44,Rhode Island,RI,11.40%,"120,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",61.50%,,38.50%,17.30%,"35,760",63%,37%,$3.23 ,"$66,402,000 "
45,South Carolina,SC,13.50%,"679,990",130%,SNAP,185%,Other Nutrition Program,54.80%,15.20%,30.00%,18.30%,"202,110",68%,32%,$2.80 ,"$324,978,000 "
46,South Dakota,SD,11.40%,"99,190",130%,SNAP,185%,Other Nutrition Program,45.50%,11.90%,42.60%,16.40%,"34,970",58%,42%,$3.02 ,"$51,050,000 "
47,Tennessee,TN,13.90%,"934,310",130%,SNAP,185%,Other Nutrition Program,53.70%,15.00%,31.20%,18.90%,"285,770",69%,31%,$2.96 ,"$472,085,000 "
48,Texas,TX,14.90%,"4,217,470",165%,SNAP,185%,Other Nutrition Program,61.20%,3.40%,35.40%,22.50%,"1,658,680",63%,37%,$2.71 ,"$1,949,246,000 "
49,Utah,UT,12.10%,"373,850",130%,SNAP,185%,Other Nutrition Program,40.00%,14.30%,45.80%,14.70%,"135,940",51%,49%,$2.81 ,"$179,279,000 "
50,Vermont,VT,11.90%,"74,520",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",59.60%,,40.40%,15.90%,"18,760",61%,39%,$3.38 ,"$42,994,000 "
51,Virginia,VA,10.20%,"863,390",130%,SNAP,185%,Other Nutrition Program,48.40%,13.50%,38.10%,13.20%,"247,470",62%,38%,$3.03 ,"$446,691,000 "
53,Washington,WA,11.50%,"848,990",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.90%,,35.10%,17.30%,"284,760",57%,43%,$3.04 ,"$440,879,000 "
54,West Virginia,WV,14.80%,"268,070",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.70%,,31.30%,20.60%,"76,970",65%,35%,$2.71 ,"$123,886,000 "
55,Wisconsin,WI,10.00%,"578,480",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.00%,,31.00%,15.40%,"197,290",62%,38%,$2.77 ,"$273,911,000 "
56,Wyoming,WY,12.30%,"71,060",130%,SNAP,185%,Other Nutrition Program,39.80%,14.40%,45.80%,17.40%,"23,960",54%,46%,$3.05 ,"$36,970,000 "
