FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall
1109,AL,"Pike County, Alabama",21.40%,"6,950",130%,SNAP,185%,Other Nutrition Program,61.10%,19.00%,20.00%,23.50%,1590,76%,24%,$2.74 ,"$3,104,530.00 "
1111,AL,"Randolph County, Alabama",19.00%,"4,330",130%,SNAP,185%,Other Nutrition Program,57.10%,17.10%,25.80%,26.20%,1400,81%,20%,$2.54 ,"$1,793,010.00 "
1113,AL,"Russell County, Alabama",21.30%,"11,190",130%,SNAP,185%,Other Nutrition Program,56.50%,28.70%,14.70%,24.90%,3340,82%,18%,$2.72 ,"$4,962,030.00 "
1115,AL,"St. Clair County, Alabama",12.90%,"10,590",130%,SNAP,185%,Other Nutrition Program,49.40%,18.30%,32.40%,23.10%,4550,72%,28%,$2.72 ,"$4,695,970.00 "
1117,AL,"Shelby County, Alabama",10.50%,"20,050",130%,SNAP,185%,Other Nutrition Program,31.10%,16.00%,53.00%,17.70%,8710,50%,50%,$2.90 ,"$9,479,230.00 "
1119,AL,"Sumter County, Alabama",31.00%,"4,260",130%,SNAP,185%,Other Nutrition Program,64.80%,27.10%,8.10%,29.10%,920,72%,28%,$2.64 ,"$1,833,470.00 "
1121,AL,"Talladega County, Alabama",19.70%,"16,220",130%,SNAP,185%,Other Nutrition Program,53.40%,21.10%,25.60%,25.70%,4980,77%,23%,$2.63 ,"$6,954,520.00 "
1123,AL,"Tallapoosa County, Alabama",18.60%,"7,730",130%,SNAP,185%,Other Nutrition Program,47.80%,26.10%,26.10%,25.80%,2410,81%,19%,$2.76 ,"$3,478,160.00 "
1125,AL,"Tuscaloosa County, Alabama",18.50%,"35,400",130%,SNAP,185%,Other Nutrition Program,50.30%,15.70%,34.00%,21.10%,8750,65%,35%,$2.88 ,"$16,620,980.00 "
1127,AL,"Walker County, Alabama",15.10%,"10,170",130%,SNAP,185%,Other Nutrition Program,57.10%,19.80%,23.10%,27.50%,4200,80%,21%,$2.70 ,"$4,476,570.00 "
1129,AL,"Washington County, Alabama",18.80%,"3,290",130%,SNAP,185%,Other Nutrition Program,49.00%,20.20%,30.80%,26.30%,1180,66%,34%,$2.73 ,"$1,464,260.00 "
1131,AL,"Wilcox County, Alabama",32.40%,"3,840",130%,SNAP,185%,Other Nutrition Program,65.80%,29.80%,4.40%,30.00%,980,81%,19%,$2.78 ,"$1,740,350.00 "
1133,AL,"Winston County, Alabama",17.60%,"4,320",130%,SNAP,185%,Other Nutrition Program,60.20%,20.90%,18.90%,32.50%,1810,90%,10%,$2.82 ,"$1,986,070.00 "
2013,AK,"Aleutians East Borough, Alaska",20.20%,620,130%,SNAP,185%,Other Nutrition Program,64.60%,35.40%,0.00%,25.50%,60,62%,38%,$3.72 ,"$376,010.00 "
2016,AK,"Aleutians West Census Area, Alaska",17.00%,930,130%,SNAP,185%,Other Nutrition Program,58.10%,33.00%,8.90%,17.50%,140,41%,59%,$4.94 ,"$748,980.00 "
2020,AK,"Anchorage Municipality, Alaska",12.60%,"36,070",130%,SNAP,185%,Other Nutrition Program,36.50%,19.20%,44.30%,16.40%,12280,54%,46%,$2.90 ,"$17,053,160.00 "
2050,AK,"Bethel Census Area, Alaska",19.90%,"3,380",130%,SNAP,185%,Other Nutrition Program,63.40%,27.60%,9.00%,27.60%,1710,83%,17%,$3.04 ,"$1,675,140.00 "
2060,AK,"Bristol Bay Borough, Alaska",11.00%,110,130%,SNAP,185%,Other Nutrition Program,24.00%,17.00%,59.10%,14.50%,40,32%,68%,$3.03 ,"$54,340.00 "
2068,AK,"Denali Borough, Alaska",14.20%,250,130%,SNAP,185%,Other Nutrition Program,32.30%,21.80%,45.90%,22.10%,80,31%,69%,$3.00 ,"$122,270.00 "
2070,AK,"Dillingham Census Area, Alaska",17.90%,870,130%,SNAP,185%,Other Nutrition Program,60.90%,26.60%,12.50%,25.30%,410,76%,24%,$3.05 ,"$432,590.00 "
2090,AK,"Fairbanks North Star Borough, Alaska",13.10%,"12,640",130%,SNAP,185%,Other Nutrition Program,34.80%,20.60%,44.60%,16.80%,4180,53%,47%,$3.20 ,"$6,594,130.00 "
2100,AK,"Haines Borough, Alaska",12.40%,310,130%,SNAP,185%,Other Nutrition Program,30.80%,11.80%,57.40%,16.10%,90,15%,85%,$2.93 ,"$148,080.00 "
2105,AK,"Hoonah-Angoon Census Area, Alaska",20.10%,410,130%,SNAP,185%,Other Nutrition Program,46.70%,27.20%,26.10%,29.50%,110,80%,20%,$2.78 ,"$185,820.00 "
2110,AK,"Juneau City and Borough, Alaska",11.00%,"3,420",130%,SNAP,185%,Other Nutrition Program,32.20%,16.30%,51.50%,15.20%,1120,46%,54%,$2.73 ,"$1,522,120.00 "
2122,AK,"Kenai Peninsula Borough, Alaska",13.20%,"7,210",130%,SNAP,185%,Other Nutrition Program,41.00%,25.90%,33.10%,18.50%,2430,62%,38%,$3.82 ,"$4,490,140.00 "
2130,AK,"Ketchikan Gateway Borough, Alaska",13.80%,"1,850",130%,SNAP,185%,Other Nutrition Program,37.20%,21.80%,41.00%,17.90%,580,52%,48%,$2.73 ,"$823,370.00 "
2150,AK,"Kodiak Island Borough, Alaska",14.20%,"1,920",130%,SNAP,185%,Other Nutrition Program,41.30%,21.20%,37.50%,19.80%,770,53%,47%,$3.04 ,"$951,560.00 "
2164,AK,"Lake and Peninsula Borough, Alaska",16.10%,250,130%,SNAP,185%,Other Nutrition Program,64.30%,17.00%,18.70%,23.50%,110,54%,46%,$3.09 ,"$125,940.00 "
2170,AK,"Matanuska-Susitna Borough, Alaska",12.40%,"10,800",130%,SNAP,185%,Other Nutrition Program,39.80%,17.30%,42.90%,18.70%,4690,53%,48%,$3.46 ,"$6,092,010.00 "
2180,AK,"Nome Census Area, Alaska",20.90%,"1,980",130%,SNAP,185%,Other Nutrition Program,69.20%,28.40%,2.40%,28.70%,930,87%,13%,$3.71 ,"$1,197,570.00 "
2185,AK,"North Slope Borough, Alaska",14.20%,"1,290",130%,SNAP,185%,Other Nutrition Program,44.40%,11.40%,44.20%,18.30%,530,52%,48%,$3.23 ,"$679,290.00 "
2188,AK,"Northwest Arctic Borough, Alaska",20.90%,"1,580",130%,SNAP,185%,Other Nutrition Program,61.60%,32.00%,6.40%,28.00%,740,89%,11%,$2.97 ,"$765,020.00 "
2195,AK,"Petersburg Census Area, Alaska",13.80%,530,130%,SNAP,185%,Other Nutrition Program,38.70%,18.40%,42.90%,19.50%,160,39%,62%,$2.78 ,"$240,200.00 "
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",18.70%,"1,040",130%,SNAP,185%,Other Nutrition Program,48.70%,36.80%,14.50%,27.90%,390,84%,16%,$2.78 ,"$471,350.00 "
2220,AK,"Sitka City and Borough, Alaska",12.80%,"1,140",130%,SNAP,185%,Other Nutrition Program,31.80%,20.10%,48.10%,17.00%,330,42%,58%,$2.95 ,"$548,260.00 "
2230,AK,"Skagway Municipality, Alaska",17.50%,190,130%,SNAP,185%,Other Nutrition Program,24.80%,24.20%,50.90%,26.20%,60,14%,86%,$2.92 ,"$90,450.00 "
2240,AK,"Southeast Fairbanks Census Area, Alaska",15.60%,"1,090",130%,SNAP,185%,Other Nutrition Program,44.10%,19.60%,36.30%,21.80%,420,63%,37%,$3.01 ,"$534,880.00 "
2261,AK,"Valdez-Cordova Census Area, Alaska",12.30%,"1,180",130%,SNAP,185%,Other Nutrition Program,34.20%,20.00%,45.80%,16.20%,380,55%,45%,$3.02 ,"$580,960.00 "
2270,AK,"Wade Hampton Census Area, Alaska",25.40%,"1,900",130%,SNAP,185%,Other Nutrition Program,80.30%,19.70%,0.00%,35.60%,1110,100%,0%,$3.71 ,"$1,149,180.00 "
2275,AK,"Wrangell City and Borough, Alaska",12.50%,290,130%,SNAP,185%,Other Nutrition Program,44.20%,20.40%,35.40%,18.80%,110,58%,43%,$2.97 ,"$140,420.00 "
2282,AK,"Yakutat City and Borough, Alaska",15.50%,110,130%,SNAP,185%,Other Nutrition Program,16.50%,28.80%,54.80%,19.10%,30,43%,57%,$3.07 ,"$55,050.00 "
2290,AK,"Yukon-Koyukuk Census Area, Alaska",20.60%,"1,160",130%,SNAP,185%,Other Nutrition Program,66.90%,24.60%,8.50%,30.80%,470,80%,20%,$3.06 ,"$578,680.00 "
4001,AZ,"Apache County, Arizona",26.10%,"18,520",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",88.30%,0.00%,11.70%,38.70%,8770,95%,5%,$2.72 ,"$8,212,410.00 "
4003,AZ,"Cochise County, Arizona",16.10%,"20,950",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.70%,0.00%,35.30%,26.40%,7950,69%,31%,$2.52 ,"$8,606,870.00 "
4005,AZ,"Coconino County, Arizona",18.30%,"24,310",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",70.60%,0.00%,29.40%,25.70%,8190,72%,28%,$2.82 ,"$11,176,220.00 "
4007,AZ,"Gila County, Arizona",17.60%,"9,410",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",77.60%,0.00%,22.40%,30.90%,3590,86%,14%,$2.67 ,"$4,096,020.00 "
4009,AZ,"Graham County, Arizona",17.60%,"6,480",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.40%,0.00%,31.60%,28.30%,2950,76%,24%,$2.61 ,"$2,757,250.00 "
4011,AZ,"Greenlee County, Arizona",17.50%,"1,480",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",73.70%,0.00%,26.30%,28.50%,700,58%,42%,$2.56 ,"$617,680.00 "
4012,AZ,"La Paz County, Arizona",17.20%,"3,520",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",93.40%,0.00%,6.60%,31.70%,1150,99%,2%,$2.66 ,"$1,526,460.00 "
4013,AZ,"Maricopa County, Arizona",16.20%,"613,720",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.80%,0.00%,37.20%,24.50%,247430,65%,36%,$2.63 ,"$263,139,960.00 "
4015,AZ,"Mohave County, Arizona",17.60%,"35,390",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",71.90%,0.00%,28.10%,29.40%,12360,79%,21%,$2.54 ,"$14,654,640.00 "
4017,AZ,"Navajo County, Arizona",22.70%,"24,420",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",77.90%,0.00%,22.10%,34.80%,11310,83%,17%,$2.60 ,"$10,350,940.00 "
4019,AZ,"Pima County, Arizona",16.60%,"161,260",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.40%,0.00%,31.60%,26.10%,58830,70%,31%,$2.60 ,"$68,353,500.00 "
4021,AZ,"Pinal County, Arizona",15.90%,"56,090",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.70%,0.00%,39.30%,25.20%,23210,72%,28%,$2.54 ,"$23,226,290.00 "
4023,AZ,"Santa Cruz County, Arizona",21.50%,"10,030",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",73.30%,0.00%,26.70%,38.60%,5570,77%,23%,$2.17 ,"$3,548,310.00 "
4025,AZ,"Yavapai County, Arizona",16.50%,"34,830",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.30%,0.00%,32.70%,26.60%,10850,75%,25%,$2.69 ,"$15,274,480.00 "
4027,AZ,"Yuma County, Arizona",27.30%,"52,950",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.50%,0.00%,31.50%,42.70%,23420,86%,14%,$2.38 ,"$20,544,880.00 "
5001,AR,"Arkansas County, Arkansas",21.30%,"4,090",130%,SNAP,185%,Other Nutrition Program,51.50%,17.50%,31.00%,26.20%,1160,72%,28%,$2.66 ,"$1,773,640.00 "
5003,AR,"Ashley County, Arkansas",20.80%,"4,570",130%,SNAP,185%,Other Nutrition Program,54.60%,24.40%,21.00%,26.20%,1420,83%,18%,$2.62 ,"$1,951,990.00 "
5005,AR,"Baxter County, Arkansas",15.60%,"6,490",130%,SNAP,185%,Other Nutrition Program,54.90%,20.70%,24.40%,30.10%,2270,84%,16%,$2.68 ,"$2,835,570.00 "
5007,AR,"Benton County, Arkansas",13.70%,"29,730",130%,SNAP,185%,Other Nutrition Program,44.30%,18.60%,37.10%,24.20%,14550,65%,35%,$2.50 ,"$12,117,020.00 "
5009,AR,"Boone County, Arkansas",15.30%,"5,660",130%,SNAP,185%,Other Nutrition Program,49.80%,21.90%,28.30%,26.90%,2310,79%,22%,$2.54 ,"$2,343,750.00 "
5011,AR,"Bradley County, Arkansas",22.80%,"2,640",130%,SNAP,185%,Other Nutrition Program,62.90%,24.10%,13.10%,31.20%,860,87%,13%,$2.63 ,"$1,131,930.00 "
5013,AR,"Calhoun County, Arkansas",17.00%,920,130%,SNAP,185%,Other Nutrition Program,58.60%,33.30%,8.10%,17.70%,210,100%,0%,$2.64 ,"$395,960.00 "
5015,AR,"Carroll County, Arkansas",14.70%,"3,980",130%,SNAP,185%,Other Nutrition Program,60.60%,21.60%,17.80%,27.00%,1640,82%,18%,$2.41 ,"$1,563,730.00 "
5017,AR,"Chicot County, Arkansas",28.20%,"3,370",130%,SNAP,185%,Other Nutrition Program,64.10%,22.70%,13.20%,31.20%,880,67%,33%,$2.63 ,"$1,444,930.00 "
5019,AR,"Clark County, Arkansas",21.50%,"4,950",130%,SNAP,185%,Other Nutrition Program,48.70%,19.30%,32.00%,26.50%,1210,68%,32%,$2.63 ,"$2,122,370.00 "
5021,AR,"Clay County, Arkansas",19.60%,"3,160",130%,SNAP,185%,Other Nutrition Program,52.10%,23.90%,24.10%,32.20%,1160,82%,19%,$2.27 ,"$1,169,430.00 "
5023,AR,"Cleburne County, Arkansas",15.20%,"3,930",130%,SNAP,185%,Other Nutrition Program,50.70%,20.00%,29.30%,28.90%,1500,69%,32%,$2.65 ,"$1,697,850.00 "
5025,AR,"Cleveland County, Arkansas",17.00%,"1,480",130%,SNAP,185%,Other Nutrition Program,50.00%,21.30%,28.70%,27.40%,600,68%,32%,$2.65 ,"$639,390.00 "
5027,AR,"Columbia County, Arkansas",22.80%,"5,610",130%,SNAP,185%,Other Nutrition Program,53.90%,16.10%,30.00%,26.20%,1470,65%,35%,$2.72 ,"$2,487,670.00 "
5029,AR,"Conway County, Arkansas",18.40%,"3,890",130%,SNAP,185%,Other Nutrition Program,59.00%,18.50%,22.60%,27.30%,1400,75%,25%,$2.45 ,"$1,553,730.00 "
5031,AR,"Craighead County, Arkansas",18.90%,"17,990",130%,SNAP,185%,Other Nutrition Program,54.20%,18.60%,27.20%,26.80%,6360,68%,32%,$2.56 ,"$7,508,130.00 "
5033,AR,"Crawford County, Arkansas",16.50%,"10,120",130%,SNAP,185%,Other Nutrition Program,54.50%,22.10%,23.30%,29.20%,4750,79%,21%,$2.54 ,"$4,190,590.00 "
5035,AR,"Crittenden County, Arkansas",28.60%,"14,490",130%,SNAP,185%,Other Nutrition Program,56.00%,22.80%,21.20%,30.20%,4490,66%,35%,$2.63 ,"$6,212,760.00 "
5037,AR,"Cross County, Arkansas",19.20%,"3,460",130%,SNAP,185%,Other Nutrition Program,47.30%,31.50%,21.20%,23.80%,1090,72%,28%,$2.61 ,"$1,472,240.00 "
5039,AR,"Dallas County, Arkansas",23.40%,"1,920",130%,SNAP,185%,Other Nutrition Program,51.80%,29.70%,18.50%,22.70%,460,80%,20%,$2.66 ,"$832,610.00 "
5041,AR,"Desha County, Arkansas",26.60%,"3,490",130%,SNAP,185%,Other Nutrition Program,55.20%,25.90%,18.90%,25.90%,890,73%,27%,$2.62 ,"$1,490,690.00 "
5043,AR,"Drew County, Arkansas",23.80%,"4,400",130%,SNAP,185%,Other Nutrition Program,55.10%,18.20%,26.70%,30.30%,1330,69%,31%,$2.64 ,"$1,893,730.00 "
5045,AR,"Faulkner County, Arkansas",16.80%,"18,620",130%,SNAP,185%,Other Nutrition Program,44.80%,16.30%,38.90%,23.00%,6270,60%,40%,$2.68 ,"$8,135,330.00 "
5047,AR,"Franklin County, Arkansas",16.10%,"2,920",130%,SNAP,185%,Other Nutrition Program,62.00%,21.40%,16.60%,28.50%,1270,79%,21%,$2.45 ,"$1,166,300.00 "
5049,AR,"Fulton County, Arkansas",15.60%,"1,920",130%,SNAP,185%,Other Nutrition Program,58.90%,26.80%,14.30%,28.10%,730,85%,15%,$2.44 ,"$763,750.00 "
