FIPS,State Name,State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall
13,Georgia,GA,18.90%,"1,874,590",130%,SNAP,185%,Other Nutrition Program,55.40%,16.80%,27.80%,28.10%,"700,780",71%,29%,$2.70 ,"$887,782,000 "
15,Hawaii,HI,14.20%,"197,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",56.20%,0.00%,43.80%,23.90%,"72,390",52%,48%,$2.86 ,"$98,954,000 "
16,Idaho,ID,15.80%,"252,060",130%,SNAP,185%,Other Nutrition Program,49.70%,19.80%,30.40%,21.60%,"91,730",68%,32%,$2.69 ,"$118,756,000 "
17,Illinois,IL,14.20%,"1,833,810",130%,SNAP,185%,Other Nutrition Program,51.50%,15.60%,32.90%,21.60%,"661,950",67%,33%,$2.46 ,"$791,626,000 "
18,Indiana,IN,15.70%,"1,023,650",130%,SNAP,185%,Other Nutrition Program,54.10%,14.80%,31.00%,21.80%,"345,730",71%,29%,$2.43 ,"$435,300,000 "
19,Iowa,IA,12.70%,"389,730",160%,SNAP,185%,Other Nutrition Program,52.40%,7.80%,39.80%,19.30%,"139,200",56%,44%,$2.47 ,"$168,364,000 "
20,Kansas,KS,14.80%,"426,850",130%,SNAP,185%,Other Nutrition Program,50.10%,15.20%,34.70%,22.50%,"162,400",68%,32%,$2.61 ,"$195,411,000 "
21,Kentucky,KY,16.70%,"730,480",130%,SNAP,185%,Other Nutrition Program,58.00%,13.60%,28.40%,21.60%,"220,170",74%,26%,$2.51 ,"$321,101,000 "
22,Louisiana,LA,16.90%,"778,200",130%,SNAP,185%,Other Nutrition Program,57.50%,14.90%,27.60%,23.40%,"261,960",72%,28%,$2.73 ,"$371,618,000 "
23,Maine,ME,15.50%,"206,000",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.70%,0.00%,36.30%,24.10%,"64,200",69%,31%,$3.09 ,"$111,393,000 "
24,Maryland,MD,13.10%,"773,200",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.00%,0.00%,41.00%,19.30%,"259,330",57%,43%,$2.87 ,"$388,236,000 "
25,Massachusetts,MA,11.90%,"789,800",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.10%,0.00%,36.90%,16.60%,"232,270",62%,38%,$3.04 ,"$420,701,000 "
26,Michigan,MI,16.80%,"1,660,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.50%,0.00%,26.50%,22.30%,"505,730",68%,32%,$2.54 ,"$737,072,000 "
27,Minnesota,MN,10.70%,"578,070",165%,SNAP,185%,Other Nutrition Program,58.90%,5.30%,35.90%,16.10%,"205,910",65%,35%,$2.71 ,"$274,262,000 "
28,Mississippi,MS,22.30%,"665,790",130%,SNAP,185%,Other Nutrition Program,59.40%,15.90%,24.70%,28.70%,"214,720",75%,25%,$2.79 ,"$324,903,000 "
29,Missouri,MO,17.10%,"1,031,030",130%,SNAP,185%,Other Nutrition Program,51.50%,17.70%,30.70%,22.00%,"308,110",68%,32%,$2.53 ,"$457,126,000 "
30,Montana,MT,14.60%,"146,580",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.90%,0.00%,32.10%,22.00%,"48,500",64%,36%,$2.66 ,"$68,331,000 "
31,Nebraska,NE,13.40%,"248,100",130%,SNAP,185%,Other Nutrition Program,44.00%,14.60%,41.40%,20.70%,"95,680",62%,39%,$2.57 ,"$111,715,000 "
32,Nevada,NV,16.80%,"464,090",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.30%,0.00%,24.70%,28.10%,"186,380",69%,31%,$2.64 ,"$214,671,000 "
33,New Hampshire,NH,10.90%,"144,290",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",52.90%,0.00%,47.10%,16.20%,"44,440",55%,45%,$2.92 ,"$73,905,000 "
34,New Jersey,NJ,13.00%,"1,151,890",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.00%,0.00%,38.00%,18.50%,"375,240",64%,36%,$2.98 ,"$600,738,000 "
35,New Mexico,NM,18.60%,"387,100",165%,SNAP,185%,Other Nutrition Program,69.30%,5.80%,24.90%,29.20%,"150,390",76%,24%,$2.59 ,"$175,675,000 "
36,New York,NY,14.10%,"2,758,740",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.50%,0.00%,26.50%,21.80%,"927,150",67%,33%,$2.81 ,"$1,359,183,000 "
37,North Carolina,NC,18.60%,"1,813,870",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.20%,0.00%,26.80%,26.70%,"608,850",72%,28%,$2.69 ,"$854,416,000 "
38,North Dakota,ND,7.70%,"54,140",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.80%,0.00%,40.20%,10.60%,"16,350",51%,49%,$2.72 ,"$25,799,000 "
39,Ohio,OH,17.20%,"1,982,170",130%,SNAP,185%,Other Nutrition Program,53.60%,14.10%,32.20%,25.20%,"671,090",67%,33%,$2.50 ,"$867,931,000 "
40,Oklahoma,OK,17.20%,"656,300",130%,SNAP,185%,Other Nutrition Program,52.70%,16.20%,31.10%,25.60%,"239,380",67%,33%,$2.66 ,"$305,922,000 "
41,Oregon,OR,16.70%,"653,000",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",72.00%,0.00%,28.00%,27.30%,"235,410",68%,32%,$2.65 ,"$302,837,000 "
42,Pennsylvania,PA,14.30%,"1,828,730",160%,SNAP,185%,Other Nutrition Program,55.80%,7.60%,36.60%,20.60%,"562,770",66%,34%,$2.75 ,"$879,686,000 "
44,Rhode Island,RI,14.70%,"153,940",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.30%,0.00%,37.70%,21.30%,"46,150",68%,32%,$2.93 ,"$79,077,000 "
45,South Carolina,SC,18.00%,"848,590",130%,SNAP,185%,Other Nutrition Program,55.50%,18.30%,26.20%,26.40%,"284,880",71%,29%,$2.61 ,"$387,989,000 "
46,South Dakota,SD,12.30%,"102,860",130%,SNAP,185%,Other Nutrition Program,45.70%,16.20%,38.10%,18.50%,"37,770",62%,38%,$2.74 ,"$49,405,000 "
47,Tennessee,TN,17.10%,"1,101,800",130%,SNAP,185%,Other Nutrition Program,54.90%,18.60%,26.60%,24.70%,"368,530",73%,27%,$2.77 ,"$534,330,000 "
48,Texas,TX,18.30%,"4,773,850",165%,SNAP,185%,Other Nutrition Program,66.60%,7.30%,26.10%,27.40%,"1,909,470",70%,30%,$2.40 ,"$2,007,186,000 "
49,Utah,UT,15.50%,"443,830",130%,SNAP,185%,Other Nutrition Program,47.00%,17.50%,35.50%,20.70%,"183,320",62%,38%,$2.53 ,"$196,493,000 "
50,Vermont,VT,13.40%,"83,630",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.80%,0.00%,37.20%,19.80%,"24,530",63%,37%,$3.06 ,"$44,884,000 "
51,Virginia,VA,12.10%,"993,530",130%,SNAP,185%,Other Nutrition Program,47.80%,18.30%,33.90%,16.20%,"299,600",62%,38%,$2.86 ,"$497,973,000 "
53,Washington,WA,15.00%,"1,031,460",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.30%,0.00%,32.70%,23.40%,"370,380",63%,37%,$2.69 ,"$486,204,000 "
54,West Virginia,WV,15.00%,"278,280",130%,SNAP,185%,Other Nutrition Program,52.10%,15.30%,32.60%,21.70%,"83,190",68%,32%,$2.59 ,"$126,468,000 "
55,Wisconsin,WI,12.60%,"724,370",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.50%,0.00%,30.50%,20.70%,"273,140",64%,36%,$2.47 ,"$313,641,000 "
56,Wyoming,WY,13.00%,"74,960",130%,SNAP,185%,Other Nutrition Program,41.40%,16.70%,41.90%,19.20%,"26,190",50%,50%,$2.78 ,"$36,470,000 "
