FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall 
1131,AL,"Wilcox County, Alabama",36.40%,"4,380",130.00%,SNAP,185.00%,Other Nutrition Program,65.10%,13.20%,21.80%,35.40%,"1,200",99%,1%,$2.94 ,"$2,216,550 "
1133,AL,"Winston County, Alabama",18.80%,"4,640",130.00%,SNAP,185.00%,Other Nutrition Program,46.40%,33.20%,20.30%,34.60%,"1,910",67%,33%,$2.57 ,"$2,052,610 "
2013,AK,"Aleutians East Borough, Alaska",14.50%,540,130.00%,SNAP,185.00%,Other Nutrition Program,67.20%,32.80%,0.00%,21.40%,70,66%,34%,$2.69 ,"$250,040 "
2016,AK,"Aleutians West Census Area, Alaska",13.30%,830,130.00%,SNAP,185.00%,Other Nutrition Program,50.90%,49.10%,0.00%,15.30%,80,36%,64%,$4.67 ,"$667,190 "
2020,AK,"Anchorage Municipality, Alaska",12.30%,"35,090",130.00%,SNAP,185.00%,Other Nutrition Program,34.30%,16.70%,49.00%,17.00%,"12,460",51%,49%,$2.64 ,"$15,945,680 "
2050,AK,"Bethel Census Area, Alaska",20.40%,"3,440",130.00%,SNAP,185.00%,Other Nutrition Program,58.60%,28.80%,12.60%,28.20%,"1,720",75%,25%,$2.69 ,"$1,592,820 "
2060,AK,"Bristol Bay Borough, Alaska",9.10%,90,130.00%,SNAP,185.00%,Other Nutrition Program,24.40%,26.50%,49.10%,13.00%,50,29%,71%,$2.86 ,"$44,310 "
2068,AK,"Denali Borough, Alaska",13.10%,150,130.00%,SNAP,185.00%,Other Nutrition Program,21.20%,22.30%,56.50%,17.30%,50,48%,52%,$3.16 ,"$81,590 "
2070,AK,"Dillingham Census Area, Alaska",16.80%,810,130.00%,SNAP,185.00%,Other Nutrition Program,56.00%,22.40%,21.60%,24.60%,400,67%,33%,$2.78 ,"$387,600 "
2090,AK,"Fairbanks North Star Borough, Alaska",12.50%,"11,780",130.00%,SNAP,185.00%,Other Nutrition Program,32.60%,20.70%,46.70%,16.80%,"4,000",50%,50%,$2.78 ,"$5,636,970 "
2100,AK,"Haines Borough, Alaska",13.40%,220,130.00%,SNAP,185.00%,Other Nutrition Program,29.10%,17.00%,53.90%,18.50%,80,21%,79%,$2.85 ,"$107,930 "
2105,AK,"Hoonah-Angoon Census Area, Alaska",20.00%,400,130.00%,SNAP,185.00%,Other Nutrition Program,44.30%,30.70%,25.00%,27.90%,100,65%,35%,$2.78 ,"$191,410 "
2110,AK,"Juneau City and Borough, Alaska",10.80%,"3,340",130.00%,SNAP,185.00%,Other Nutrition Program,32.80%,17.40%,49.90%,16.00%,"1,170",44%,57%,$2.43 ,"$1,397,040 "
2122,AK,"Kenai Peninsula Borough, Alaska",14.70%,"7,930",130.00%,SNAP,185.00%,Other Nutrition Program,39.10%,23.00%,37.90%,20.40%,"2,650",57%,43%,$3.09 ,"$4,217,810 "
2130,AK,"Ketchikan Gateway Borough, Alaska",12.70%,"1,700",130.00%,SNAP,185.00%,Other Nutrition Program,37.10%,21.30%,41.50%,17.90%,570,55%,45%,$3.20 ,"$936,390 "
2150,AK,"Kodiak Island Borough, Alaska",12.90%,"1,720",130.00%,SNAP,185.00%,Other Nutrition Program,37.20%,24.20%,38.60%,18.80%,730,48%,52%,$3.14 ,"$929,640 "
2164,AK,"Lake and Peninsula Borough, Alaska",16.70%,270,130.00%,SNAP,185.00%,Other Nutrition Program,69.90%,21.20%,8.80%,22.70%,180,74%,26%,$2.86 ,"$132,920 "
2170,AK,"Matanuska-Susitna Borough, Alaska",14.10%,"11,840",130.00%,SNAP,185.00%,Other Nutrition Program,37.20%,16.40%,46.40%,19.80%,"4,770",48%,52%,$3.08 ,"$6,277,090 "
2180,AK,"Nome Census Area, Alaska",20.60%,"1,920",130.00%,SNAP,185.00%,Other Nutrition Program,64.80%,23.40%,11.80%,29.00%,910,78%,22%,$4.81 ,"$1,589,650 "
2185,AK,"North Slope Borough, Alaska",11.80%,"1,040",130.00%,SNAP,185.00%,Other Nutrition Program,50.20%,18.20%,31.60%,18.70%,420,65%,35%, $-   , $-   
2188,AK,"Northwest Arctic Borough, Alaska",19.60%,"1,460",130.00%,SNAP,185.00%,Other Nutrition Program,60.40%,34.50%,5.10%,26.70%,700,87%,13%,$3.09 ,"$776,550 "
2195,AK,"Petersburg Census Area, Alaska",14.20%,550,130.00%,SNAP,185.00%,Other Nutrition Program,36.10%,14.40%,49.50%,,,0%,0%,$2.58 ,"$244,250 "
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",15.40%,850,130.00%,SNAP,185.00%,Other Nutrition Program,54.00%,36.00%,10.00%,,,0%,0%,$2.60 ,"$380,410 "
2220,AK,"Sitka City and Borough, Alaska",11.40%,"1,010",130.00%,SNAP,185.00%,Other Nutrition Program,34.90%,23.20%,41.90%,16.30%,320,44%,56%,$2.58 ,"$448,540 "
2230,AK,"Skagway Municipality, Alaska",17.20%,200,130.00%,SNAP,185.00%,Other Nutrition Program,32.00%,35.80%,32.20%,19.60%,40,76%,24%,$2.78 ,"$95,700 "
2240,AK,"Southeast Fairbanks Census Area, Alaska",15.40%,"1,070",130.00%,SNAP,185.00%,Other Nutrition Program,38.20%,18.20%,43.60%,20.70%,380,54%,46%,$2.58 ,"$475,180 "
2261,AK,"Valdez-Cordova Census Area, Alaska",13.30%,"1,280",130.00%,SNAP,185.00%,Other Nutrition Program,30.50%,26.40%,43.20%,18.00%,440,52%,48%,$4.45 ,"$980,450 "
2270,AK,"Wade Hampton Census Area, Alaska",27.40%,"2,030",130.00%,SNAP,185.00%,Other Nutrition Program,79.50%,20.50%,0.00%,37.50%,"1,150",93%,7%, $-   , $-   
2275,AK,"Wrangell City and Borough, Alaska",14.00%,330,130.00%,SNAP,185.00%,Other Nutrition Program,38.30%,20.10%,41.60%,,,0%,0%,$2.58 ,"$146,550 "
2282,AK,"Yakutat City and Borough, Alaska",13.60%,90,130.00%,SNAP,185.00%,Other Nutrition Program,19.00%,38.80%,42.20%,18.80%,40,56%,44%,$2.83 ,"$43,840 "
2290,AK,"Yukon-Koyukuk Census Area, Alaska",22.20%,"1,250",130.00%,SNAP,185.00%,Other Nutrition Program,67.60%,22.50%,9.90%,31.80%,490,77%,23%,$2.72 ,"$585,240 "
4001,AZ,"Apache County, Arizona",27.10%,"19,070",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",85.00%,N/A,15.00%,37.70%,"8,490",88%,12%,$2.47 ,"$8,107,800 "
4003,AZ,"Cochise County, Arizona",16.00%,"20,700",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",62.60%,N/A,37.40%,25.90%,"7,710",65%,35%,$2.40 ,"$8,551,400 "
4005,AZ,"Coconino County, Arizona",17.70%,"23,270",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",64.90%,N/A,35.10%,25.50%,"8,020",72%,28%,$2.47 ,"$9,893,480 "
4007,AZ,"Gila County, Arizona",19.10%,"10,150",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",73.90%,N/A,26.10%,29.40%,"3,420",82%,18%,$2.44 ,"$4,262,960 "
4009,AZ,"Graham County, Arizona",20.50%,"7,370",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",66.90%,N/A,33.10%,30.80%,"3,090",73%,27%,$2.41 ,"$3,057,310 "
4011,AZ,"Greenlee County, Arizona",16.10%,"1,340",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",74.20%,N/A,25.80%,27.00%,640,58%,42%,$2.57 ,"$592,780 "
4012,AZ,"La Paz County, Arizona",18.50%,"3,800",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",84.40%,N/A,15.60%,32.20%,"1,170",90%,10%,$2.38 ,"$1,556,740 "
4013,AZ,"Maricopa County, Arizona",16.10%,"605,460",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",59.20%,N/A,40.80%,24.80%,"244,970",63%,37%,$2.43 ,"$253,248,780 "
4015,AZ,"Mohave County, Arizona",18.60%,"37,120",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",67.60%,N/A,32.40%,28.40%,"11,830",79%,21%,$2.38 ,"$15,206,900 "
4017,AZ,"Navajo County, Arizona",23.90%,"25,570",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",72.00%,N/A,28.00%,34.10%,"10,940",78%,22%,$2.42 ,"$10,651,280 "
4019,AZ,"Pima County, Arizona",16.40%,"158,630",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",66.80%,N/A,33.20%,26.20%,"57,770",69%,31%,$2.45 ,"$66,897,060 "
4021,AZ,"Pinal County, Arizona",18.00%,"59,240",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",58.10%,N/A,41.90%,26.70%,"22,440",69%,31%,$2.39 ,"$24,370,730 "
4023,AZ,"Santa Cruz County, Arizona",20.70%,"9,550",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",92.90%,N/A,7.10%,38.80%,"5,540",70%,30%,$2.21 ,"$3,632,880 "
4025,AZ,"Yavapai County, Arizona",17.50%,"36,720",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",61.60%,N/A,38.40%,26.20%,"10,540",71%,29%,$2.43 ,"$15,359,060 "
4027,AZ,"Yuma County, Arizona",27.10%,"51,630",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",78.30%,N/A,21.70%,42.90%,"22,990",76%,24%,$2.28 ,"$20,262,480 "
5001,AR,"Arkansas County, Arkansas",25.10%,"4,840",130.00%,SNAP,185.00%,Other Nutrition Program,45.90%,18.10%,36.10%,29.20%,"1,240",76%,24%,$2.40 ,"$1,999,460 "
5003,AR,"Ashley County, Arkansas",20.70%,"4,580",130.00%,SNAP,185.00%,Other Nutrition Program,50.00%,21.80%,28.20%,26.10%,"1,440",75%,25%,$2.45 ,"$1,931,470 "
5005,AR,"Baxter County, Arkansas",16.30%,"6,740",130.00%,SNAP,185.00%,Other Nutrition Program,47.70%,27.80%,24.50%,30.30%,"2,160",73%,28%,$2.49 ,"$2,888,780 "
5007,AR,"Benton County, Arkansas",12.90%,"27,040",130.00%,SNAP,185.00%,Other Nutrition Program,39.40%,28.30%,32.40%,24.20%,"13,940",56%,44%,$2.32 ,"$10,798,170 "
5009,AR,"Boone County, Arkansas",15.30%,"5,620",130.00%,SNAP,185.00%,Other Nutrition Program,43.90%,27.70%,28.40%,26.40%,"2,210",66%,34%,$2.43 ,"$2,350,710 "
5011,AR,"Bradley County, Arkansas",23.40%,"2,720",130.00%,SNAP,185.00%,Other Nutrition Program,61.60%,18.90%,19.50%,30.90%,850,84%,17%,$2.78 ,"$1,301,580 "
5013,AR,"Calhoun County, Arkansas",17.80%,990,130.00%,SNAP,185.00%,Other Nutrition Program,52.80%,32.50%,14.80%,20.70%,260,98%,2%,$2.73 ,"$465,210 "
5015,AR,"Carroll County, Arkansas",14.70%,"3,960",130.00%,SNAP,185.00%,Other Nutrition Program,52.60%,29.20%,18.20%,27.30%,"1,600",70%,31%,$2.41 ,"$1,642,740 "
5017,AR,"Chicot County, Arkansas",28.80%,"3,490",130.00%,SNAP,185.00%,Other Nutrition Program,65.00%,9.40%,25.50%,30.60%,880,88%,12%,$2.76 ,"$1,658,020 "
5019,AR,"Clark County, Arkansas",20.40%,"4,710",130.00%,SNAP,185.00%,Other Nutrition Program,48.10%,15.00%,36.80%,25.30%,"1,160",72%,28%,$2.46 ,"$1,994,400 "
5021,AR,"Clay County, Arkansas",19.30%,"3,140",130.00%,SNAP,185.00%,Other Nutrition Program,51.00%,31.00%,18.00%,32.00%,"1,180",70%,30%,$2.31 ,"$1,248,530 "
5023,AR,"Cleburne County, Arkansas",15.70%,"4,040",130.00%,SNAP,185.00%,Other Nutrition Program,45.40%,26.30%,28.30%,28.30%,"1,450",61%,39%,$2.47 ,"$1,717,650 "
5025,AR,"Cleveland County, Arkansas",17.20%,"1,510",130.00%,SNAP,185.00%,Other Nutrition Program,41.00%,25.60%,33.40%,26.60%,590,63%,37%,$2.80 ,"$727,760 "
5027,AR,"Columbia County, Arkansas",22.70%,"5,620",130.00%,SNAP,185.00%,Other Nutrition Program,49.10%,12.30%,38.60%,26.00%,"1,460",78%,23%,$2.44 ,"$2,360,380 "
5029,AR,"Conway County, Arkansas",17.40%,"3,670",130.00%,SNAP,185.00%,Other Nutrition Program,48.20%,27.60%,24.20%,24.90%,"1,270",68%,32%,$2.41 ,"$1,522,430 "
5031,AR,"Craighead County, Arkansas",17.30%,"16,190",130.00%,SNAP,185.00%,Other Nutrition Program,47.50%,19.50%,33.00%,26.20%,"5,950",64%,36%,$2.35 ,"$6,548,930 "
5033,AR,"Crawford County, Arkansas",16.10%,"9,780",130.00%,SNAP,185.00%,Other Nutrition Program,47.40%,28.60%,24.00%,29.20%,"4,710",64%,36%,$2.42 ,"$4,073,900 "
5035,AR,"Crittenden County, Arkansas",26.50%,"13,400",130.00%,SNAP,185.00%,Other Nutrition Program,54.50%,12.30%,33.30%,28.40%,"4,230",84%,16%,$2.48 ,"$5,720,210 "
5037,AR,"Cross County, Arkansas",19.00%,"3,440",130.00%,SNAP,185.00%,Other Nutrition Program,47.90%,28.10%,24.00%,23.20%,"1,090",76%,25%,$2.45 ,"$1,450,710 "
5039,AR,"Dallas County, Arkansas",23.30%,"1,930",130.00%,SNAP,185.00%,Other Nutrition Program,45.80%,21.50%,32.70%,24.60%,340,90%,10%,$2.50 ,"$830,530 "
