FIPS,State Name,State,2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2018 Child Food Insecurity Rate,# of Food Insecure Children in 2018,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2018 Cost Per Meal,2018 Weighted Annual Food Budget Shortfall
13,Georgia,GA,12.50%,"1,318,500",130%,SNAP,185%,Other Nutrition Program,47.80%,15.90%,36.30%,16.20%,"405,380",68%,32%,$2.99 ,"$667,166,000 "
15,Hawaii,HI,11.20%,"159,040",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",52.70%,,47.30%,18.40%,"55,710",49%,51%,$3.39 ,"$91,220,000 "
16,Idaho,ID,10.80%,"189,970",130%,SNAP,185%,Other Nutrition Program,48.50%,19.40%,32.10%,12.60%,"56,120",73%,27%,$3.04 ,"$97,790,000 "
17,Illinois,IL,10.10%,"1,283,550",165%,SNAP,185%,Other Nutrition Program,60.70%,12.00%,27.20%,12.70%,"363,900",70%,30%,$2.90 ,"$630,473,000 "
18,Indiana,IN,13.20%,"883,260",130%,SNAP,185%,Other Nutrition Program,51.60%,16.40%,32.00%,17.50%,"274,080",72%,28%,$2.68 ,"$400,962,000 "
19,Iowa,IA,9.70%,"305,100",160%,SNAP,185%,Other Nutrition Program,53.40%,4.90%,41.60%,13.90%,"102,190",63%,37%,$2.79 ,"$144,058,000 "
20,Kansas,KS,12.70%,"368,770",130%,SNAP,185%,Other Nutrition Program,42.90%,16.70%,40.30%,18.40%,"129,780",63%,37%,$2.91 ,"$181,639,000 "
21,Kentucky,KY,14.80%,"662,660",130%,SNAP,185%,Other Nutrition Program,54.30%,13.20%,32.50%,18.90%,"190,600",70%,30%,$2.68 ,"$300,629,000 "
22,Louisiana,LA,16.10%,"751,920",130%,SNAP,185%,Other Nutrition Program,57.80%,11.40%,30.80%,24.60%,"269,650",73%,27%,$3.05 ,"$387,680,000 "
23,Maine,ME,12.90%,"173,080",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",61.20%,,38.80%,19.10%,"47,460",63%,37%,$3.61 ,"$105,835,000 "
24,Maryland,MD,11.00%,"667,110",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.10%,,37.90%,16.10%,"216,070",60%,40%,$3.20 ,"$361,501,000 "
25,Massachusetts,MA,8.90%,"617,380",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.80%,,32.20%,10.10%,"138,760",73%,27%,$3.63 ,"$379,733,000 "
26,Michigan,MI,13.60%,"1,359,650",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.60%,,31.40%,14.70%,"318,960",70%,30%,$2.84 ,"$653,547,000 "
27,Minnesota,MN,8.20%,"461,200",165%,SNAP,185%,Other Nutrition Program,59.40%,9.20%,31.30%,12.40%,"161,880",74%,26%,$3.08 ,"$240,696,000 "
28,Mississippi,MS,18.70%,"559,350",130%,SNAP,185%,Other Nutrition Program,53.00%,11.90%,35.00%,23.00%,"162,150",73%,27%,$2.90 ,"$274,731,000 "
29,Missouri,MO,13.30%,"813,840",130%,SNAP,185%,Other Nutrition Program,47.50%,12.90%,39.60%,15.20%,"209,870",67%,33%,$2.87 ,"$395,122,000 "
30,Montana,MT,10.30%,"109,150",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.50%,,31.50%,15.90%,"36,560",68%,32%,$3.02 ,"$55,846,000 "
31,Nebraska,NE,12.30%,"237,440",130%,SNAP,185%,Other Nutrition Program,43.80%,14.30%,41.80%,16.70%,"79,310",64%,36%,$2.86 ,"$114,880,000 "
32,Nevada,NV,12.80%,"388,420",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.00%,,28.00%,19.50%,"134,350",65%,35%,$3.15 ,"$207,140,000 "
33,New Hampshire,NH,9.30%,"125,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",49.10%,,50.90%,13.30%,"34,280",57%,43%,$3.40 ,"$72,230,000 "
34,New Jersey,NJ,8.70%,"774,860",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.90%,,33.10%,11.30%,"219,760",73%,27%,$3.34 ,"$437,705,000 "
35,New Mexico,NM,15.10%,"315,990",165%,SNAP,185%,Other Nutrition Program,71.40%,4.00%,24.50%,23.80%,"114,180",72%,28%,$2.91 ,"$155,654,000 "
36,New York,NY,11.10%,"2,166,060",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.70%,,25.30%,16.90%,"685,500",75%,25%,$3.23 ,"$1,182,494,000 "
37,North Carolina,NC,14.00%,"1,456,200",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.60%,,28.40%,19.30%,"443,040",75%,25%,$2.92 ,"$719,879,000 "
38,North Dakota,ND,6.80%,"51,610",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.70%,,34.30%,9.60%,"16,700",64%,36%,$3.11 ,"$27,186,000 "
39,Ohio,OH,13.90%,"1,624,180",130%,SNAP,185%,Other Nutrition Program,50.30%,12.20%,37.50%,18.90%,"489,160",67%,33%,$2.79 ,"$767,710,000 "
40,Oklahoma,OK,15.10%,"594,140",130%,SNAP,185%,Other Nutrition Program,46.80%,16.00%,37.20%,21.80%,"208,110",66%,34%,$2.89 ,"$290,887,000 "
41,Oregon,OR,11.90%,"498,730",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",65.20%,,34.80%,16.00%,"139,220",70%,30%,$3.13 ,"$264,260,000 "
42,Pennsylvania,PA,10.90%,"1,401,920",160%,SNAP,185%,Other Nutrition Program,58.00%,10.30%,31.70%,15.10%,"399,270",68%,32%,$3.11 ,"$737,258,000 "
44,Rhode Island,RI,11.40%,"120,970",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.40%,,37.60%,17.80%,"36,270",73%,27%,$3.38 ,"$69,276,000 "
45,South Carolina,SC,11.80%,"600,440",130%,SNAP,185%,Other Nutrition Program,54.20%,15.00%,30.80%,16.20%,"178,710",68%,32%,$2.87 ,"$291,600,000 "
46,South Dakota,SD,10.80%,"95,080",130%,SNAP,185%,Other Nutrition Program,47.50%,14.30%,38.20%,16.50%,"35,330",70%,30%,$3.01 ,"$48,379,000 "
47,Tennessee,TN,14.00%,"950,290",130%,SNAP,185%,Other Nutrition Program,53.70%,14.60%,31.80%,17.70%,"267,110",73%,27%,$3.03 ,"$486,768,000 "
48,Texas,TX,15.00%,"4,295,240",165%,SNAP,185%,Other Nutrition Program,63.10%,6.10%,30.80%,21.60%,"1,598,940",68%,32%,$2.64 ,"$1,920,819,000 "
49,Utah,UT,11.00%,"347,370",130%,SNAP,185%,Other Nutrition Program,38.30%,16.70%,45.00%,12.10%,"113,190",57%,43%,$2.91 ,"$171,029,000 "
50,Vermont,VT,11.30%,"70,580",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.60%,,45.40%,15.20%,"17,550",56%,44%,$3.50 ,"$41,756,000 "
51,Virginia,VA,9.90%,"842,870",130%,SNAP,185%,Other Nutrition Program,47.10%,13.00%,39.90%,12.50%,"233,530",61%,39%,$3.10 ,"$442,908,000 "
53,Washington,WA,10.70%,"804,080",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.50%,,34.50%,14.70%,"244,480",57%,43%,$3.22 ,"$438,026,000 "
54,West Virginia,WV,13.90%,"250,600",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.30%,,30.70%,20.30%,"73,770",73%,27%,$2.70 ,"$114,692,000 "
55,Wisconsin,WI,8.90%,"515,930",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.40%,,32.60%,14.10%,"179,180",67%,33%,$2.84 ,"$248,085,000 "
56,Wyoming,WY,12.20%,"70,640",130%,SNAP,185%,Other Nutrition Program,41.70%,14.40%,43.80%,15.90%,"21,160",59%,41%,$3.12 ,"$37,306,000 "
