FIPS,State Name,State,2015 Food Insecurity Rate,# of Food Insecure Persons in 2015 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2015 Child Food Insecurity Rate,# of Food Insecure Children in 2015,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2015,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2015,2015 Cost Per Meal,2015 Weighted Annual Food Budget Shortfall
23,Maine,ME,14.80%,"196,210",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.00%,,37.00%,21.40%,"54,830",64%,36%,$3.31 ,"$116,402,000 "
24,Maryland,MD,11.40%,"682,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.00%,,38.00%,16.30%,"220,010",59%,41%,$3.03 ,"$370,097,000 "
25,Massachusetts,MA,10.30%,"701,630",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.90%,,33.20%,13.50%,"187,290",68%,32%,$3.25 ,"$408,919,000 "
26,Michigan,MI,15.10%,"1,493,790",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.90%,,26.10%,18.00%,"397,070",70%,30%,$2.76 ,"$739,172,000 "
27,Minnesota,MN,9.90%,"540,820",165%,SNAP,185%,Other Nutrition Program,60.20%,6.10%,33.70%,13.80%,"177,080",70%,30%,$2.91 ,"$282,661,000 "
28,Mississippi,MS,21.50%,"643,390",130%,SNAP,185%,Other Nutrition Program,57.50%,17.10%,25.40%,26.30%,"191,750",75%,25%,$2.88 ,"$332,456,000 "
29,Missouri,MO,15.60%,"947,900",130%,SNAP,185%,Other Nutrition Program,50.40%,18.70%,30.90%,18.60%,"258,610",66%,34%,$2.73 ,"$464,284,000 "
30,Montana,MT,13.00%,"133,810",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.60%,,33.40%,18.80%,"42,480",60%,40%,$2.86 ,"$68,716,000 "
31,Nebraska,NE,12.30%,"233,350",130%,SNAP,185%,Other Nutrition Program,44.80%,15.90%,39.40%,18.30%,"85,970",61%,39%,$2.77 ,"$115,937,000 "
32,Nevada,NV,13.70%,"394,910",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.90%,,25.10%,22.40%,"149,460",66%,34%,$2.98 ,"$210,694,000 "
33,New Hampshire,NH,9.70%,"128,910",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",50.10%,,49.90%,12.90%,"33,940",51%,49%,$3.16 ,"$73,100,000 "
34,New Jersey,NJ,10.80%,"971,920",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.80%,,31.20%,14.90%,"298,010",68%,32%,$3.04 ,"$530,406,000 "
35,New Mexico,NM,16.00%,"332,610",165%,SNAP,185%,Other Nutrition Program,70.90%,6.10%,22.90%,25.00%,"124,980",73%,27%,$2.79 ,"$166,502,000 "
36,New York,NY,12.60%,"2,502,250",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.30%,,25.70%,19.40%,"819,460",67%,33%,$3.06 ,"$1,371,215,000 "
37,North Carolina,NC,16.50%,"1,659,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.70%,,25.30%,22.60%,"516,120",73%,27%,$2.84 ,"$844,234,000 "
38,North Dakota,ND,7.70%,"58,030",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.10%,,39.90%,9.40%,"16,130",54%,46%,$2.94 ,"$30,625,000 "
39,Ohio,OH,16.00%,"1,852,870",130%,SNAP,185%,Other Nutrition Program,52.20%,15.50%,32.20%,21.90%,"575,020",67%,33%,$2.72 ,"$903,221,000 "
40,Oklahoma,OK,16.20%,"632,030",130%,SNAP,185%,Other Nutrition Program,51.10%,17.60%,31.40%,22.60%,"216,980",66%,34%,$2.82 ,"$320,046,000 "
41,Oregon,OR,14.20%,"572,790",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.40%,,25.60%,22.50%,"194,070",65%,35%,$2.91 ,"$298,910,000 "
42,Pennsylvania,PA,13.10%,"1,674,420",160%,SNAP,185%,Other Nutrition Program,57.10%,7.90%,35.00%,17.90%,"482,130",67%,33%,$2.93 ,"$880,598,000 "
44,Rhode Island,RI,12.50%,"132,090",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.30%,,31.70%,18.10%,"38,430",71%,29%,$3.04 ,"$71,928,000 "
45,South Carolina,SC,15.30%,"746,810",130%,SNAP,185%,Other Nutrition Program,55.20%,18.90%,25.90%,20.70%,"225,550",69%,31%,$2.83 ,"$378,951,000 "
46,South Dakota,SD,12.10%,"104,140",130%,SNAP,185%,Other Nutrition Program,48.50%,14.90%,36.60%,18.00%,"37,670",64%,36%,$2.94 ,"$54,897,000 "
47,Tennessee,TN,15.40%,"1,016,420",130%,SNAP,185%,Other Nutrition Program,55.80%,19.00%,25.10%,21.10%,"315,370",73%,27%,$2.94 ,"$535,957,000 "
48,Texas,TX,15.70%,"4,320,050",165%,SNAP,185%,Other Nutrition Program,63.30%,5.60%,31.00%,23.80%,"1,713,430",66%,34%,$2.59 ,"$2,007,143,000 "
49,Utah,UT,13.10%,"391,610",130%,SNAP,185%,Other Nutrition Program,44.00%,18.80%,37.20%,16.40%,"149,790",57%,43%,$2.79 ,"$195,913,000 "
50,Vermont,VT,11.90%,"74,600",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.90%,,35.10%,15.70%,"18,820",62%,38%,$3.39 ,"$45,311,000 "
51,Virginia,VA,11.20%,"935,480",130%,SNAP,185%,Other Nutrition Program,48.80%,18.50%,32.80%,14.40%,"268,670",64%,36%,$3.03 ,"$508,587,000 "
53,Washington,WA,12.80%,"915,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.40%,,30.60%,19.00%,"306,560",64%,36%,$2.98 ,"$489,610,000 "
54,West Virginia,WV,14.90%,"275,280",130%,SNAP,185%,Other Nutrition Program,52.70%,17.00%,30.20%,20.80%,"79,050",68%,32%,$2.68 ,"$132,485,000 "
55,Wisconsin,WI,11.00%,"633,170",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.10%,,29.90%,17.00%,"219,280",65%,35%,$2.71 ,"$307,507,000 "
56,Wyoming,WY,12.30%,"72,260",130%,SNAP,185%,Other Nutrition Program,41.90%,17.10%,41.00%,16.90%,"23,550",56%,44%,$3.01 ,"$38,980,000 "
